2024-09-19 07:30:03.821433 -- Sleeping 10 segs ... 
2024-09-19 07:30:13.986012 -- Sleeping 10 segs ... 
2024-09-19 07:30:24.164312 -- Sleeping 10 segs ... 
2024-09-19 07:30:34.316714 -- Sleeping 10 segs ... 
2024-09-19 07:30:44.470689 -- Sleeping 10 segs ... 
2024-09-19 07:30:54.859683 -- Sleeping 10 segs ... 
2024-09-19 07:31:05.015316 -- Sleeping 10 segs ... 
2024-09-19 07:31:15.364397 -- inserting match : EUW1_7118692849 
2024-09-19 07:31:16.869773 -- inserting match : EUW1_7118681181 
2024-09-19 07:31:23.009735 -- inserting match : EUW1_7122970130 
2024-09-19 07:31:24.366691 -- inserting match : EUW1_7122923548 
2024-09-19 07:31:25.729271 -- inserting match : EUW1_7122202070 
2024-09-19 07:31:27.045096 -- inserting match : EUW1_7122176959 
2024-09-19 07:31:32.906223 -- inserting match : EUW1_7121790819 
2024-09-19 07:31:34.416142 -- inserting match : EUW1_7115789120 
2024-09-19 07:31:45.234090 -- inserting match : EUW1_7118667029 
2024-09-19 07:31:46.621696 -- inserting match : EUW1_7118654601 
2024-09-19 07:31:50.554886 -- Sleeping 10 segs ... 
2024-09-19 07:32:00.712461 -- Sleeping 10 segs ... 
2024-09-19 07:32:10.864209 -- Sleeping 10 segs ... 
2024-09-19 07:32:21.010851 -- Sleeping 10 segs ... 
2024-09-19 07:32:31.199477 -- Sleeping 10 segs ... 
2024-09-19 07:32:41.361439 -- Sleeping 10 segs ... 
2024-09-19 07:32:51.512927 -- Sleeping 10 segs ... 
2024-09-19 07:33:01.659887 -- Sleeping 10 segs ... 
2024-09-19 07:33:11.809173 -- Sleeping 10 segs ... 
2024-09-19 07:33:24.305466 -- inserting match : EUW1_7123354167 
2024-09-19 07:33:25.968441 -- inserting match : EUW1_7122249521 
2024-09-19 07:33:27.294623 -- inserting match : EUW1_7122222395 
2024-09-19 07:33:28.545660 -- inserting match : EUW1_7117084347 
2024-09-19 07:33:29.869386 -- inserting match : EUW1_7117047065 
2024-09-19 07:33:44.484003 -- inserting match : EUW1_7118340538 
2024-09-19 07:33:45.974976 -- inserting match : EUW1_7118299979 
2024-09-19 07:33:47.305423 -- inserting match : EUW1_7118258275 
2024-09-19 07:33:55.510347 -- Sleeping 10 segs ... 
2024-09-19 07:34:05.669478 -- Sleeping 10 segs ... 
2024-09-19 07:34:15.825708 -- Sleeping 10 segs ... 
2024-09-19 07:34:25.976043 -- Sleeping 10 segs ... 
2024-09-19 07:34:36.147651 -- Sleeping 10 segs ... 
2024-09-19 07:34:46.300408 -- Sleeping 10 segs ... 
2024-09-19 07:34:56.444289 -- Sleeping 10 segs ... 
2024-09-19 07:35:06.586958 -- Sleeping 10 segs ... 
2024-09-19 07:35:16.747662 -- Sleeping 10 segs ... 
2024-09-19 07:35:37.066295 -- inserting match : EUW1_7120032927 
2024-09-19 07:35:38.489640 -- inserting match : EUW1_7120025046 
2024-09-19 07:35:39.887162 -- inserting match : EUW1_7116229621 
2024-09-19 07:35:41.163166 -- inserting match : EUW1_7116219193 
2024-09-19 07:35:42.501188 -- inserting match : EUW1_7116213179 
2024-09-19 07:35:43.897750 -- inserting match : EUW1_7116104658 
2024-09-19 07:35:45.304405 -- inserting match : EUW1_7115052497 
2024-09-19 07:35:57.875512 -- Sleeping 10 segs ... 
2024-09-19 07:36:08.028450 -- Sleeping 10 segs ... 
2024-09-19 07:36:18.182377 -- Sleeping 10 segs ... 
2024-09-19 07:36:28.341019 -- Sleeping 10 segs ... 
2024-09-19 07:36:38.510890 -- Sleeping 10 segs ... 
2024-09-19 07:36:48.678813 -- Sleeping 10 segs ... 
2024-09-19 07:36:58.831632 -- Sleeping 10 segs ... 
2024-09-19 07:37:08.982282 -- Sleeping 10 segs ... 
2024-09-19 07:37:19.144589 -- Sleeping 10 segs ... 
2024-09-19 07:37:31.082997 -- inserting match : EUW1_7119562156 
2024-09-19 07:37:38.899148 -- inserting match : EUW1_7118713723 
2024-09-19 07:37:40.258594 -- inserting match : EUW1_7117669108 
2024-09-19 07:37:41.604593 -- inserting match : EUW1_7117425068 
2024-09-19 07:37:42.992905 -- inserting match : EUW1_7117419740 
2024-09-19 07:37:44.356440 -- inserting match : EUW1_7117404288 
2024-09-19 07:37:45.699982 -- inserting match : EUW1_7117403520 
2024-09-19 07:37:54.408491 -- inserting match : EUW1_7123255353 
2024-09-19 07:37:55.865984 -- inserting match : EUW1_7123227727 
2024-09-19 07:37:57.245160 -- inserting match : EUW1_7122922159 
2024-09-19 07:38:04.823768 -- Sleeping 10 segs ... 
2024-09-19 07:38:14.976677 -- Sleeping 10 segs ... 
2024-09-19 07:38:25.120494 -- Sleeping 10 segs ... 
2024-09-19 07:38:35.267531 -- Sleeping 10 segs ... 
2024-09-19 07:38:45.423563 -- Sleeping 10 segs ... 
2024-09-19 07:38:55.587483 -- Sleeping 10 segs ... 
2024-09-19 07:39:05.748824 -- Sleeping 10 segs ... 
2024-09-19 07:39:15.891659 -- Sleeping 10 segs ... 
2024-09-19 07:39:26.033313 -- Sleeping 10 segs ... 
2024-09-19 07:39:37.497831 -- GRANDMASTER League -------> 
2024-09-19 07:39:38.223555 -- inserting match : EUW1_7115008198 
2024-09-19 07:39:39.661278 -- inserting match : EUW1_7114998286 
2024-09-19 07:39:45.275494 -- inserting match : EUW1_7118565327 
2024-09-19 07:39:46.656422 -- inserting match : EUW1_7118543229 
2024-09-19 07:39:47.953879 -- inserting match : EUW1_7114277893 
2024-09-19 07:39:49.367609 -- inserting match : EUW1_7114250665 
2024-09-19 07:40:06.851845 -- Sleeping 10 segs ... 
2024-09-19 07:40:17.004596 -- Sleeping 10 segs ... 
2024-09-19 07:40:27.157265 -- Sleeping 10 segs ... 
2024-09-19 07:40:37.297831 -- Sleeping 10 segs ... 
2024-09-19 07:40:47.497685 -- Sleeping 10 segs ... 
2024-09-19 07:40:57.658624 -- Sleeping 10 segs ... 
2024-09-19 07:41:07.809516 -- Sleeping 10 segs ... 
2024-09-19 07:41:17.962748 -- Sleeping 10 segs ... 
2024-09-19 07:41:28.116873 -- Sleeping 10 segs ... 
2024-09-19 07:41:42.113699 -- inserting match : EUW1_7120271413 
2024-09-19 07:41:58.006395 -- inserting match : EUW1_7122324505 
2024-09-19 07:41:59.355636 -- inserting match : EUW1_7120261078 
2024-09-19 07:42:05.284482 -- Sleeping 10 segs ... 
2024-09-19 07:42:15.432884 -- Sleeping 10 segs ... 
2024-09-19 07:42:25.585717 -- Sleeping 10 segs ... 
2024-09-19 07:42:35.746382 -- Sleeping 10 segs ... 
2024-09-19 07:42:45.897006 -- Sleeping 10 segs ... 
2024-09-19 07:42:56.058492 -- Sleeping 10 segs ... 
2024-09-19 07:43:06.223794 -- Sleeping 10 segs ... 
2024-09-19 07:43:16.380769 -- Sleeping 10 segs ... 
2024-09-19 07:43:26.544622 -- Sleeping 10 segs ... 
2024-09-19 07:43:36.688598 -- Sleeping 10 segs ... 
2024-09-19 07:44:10.965278 -- Sleeping 10 segs ... 
2024-09-19 07:44:21.121955 -- Sleeping 10 segs ... 
2024-09-19 07:44:31.277411 -- Sleeping 10 segs ... 
